TN Code,MC,LC,TN Raise Date,Exchange Type,Organization Name,Organization Type,Business Type,Issue Type,Earliest Start Date,Latest End Date,Internship Focus,Primary fow,Background in primary field of work,secondary fow,Background in secondary field of work,Languages,Skills,Workfield,Master Issues,Sub Issues,Link,entry_id
TN-In-AT-VI-2013-1661,AUSTRIA,AIESEC VIENNA WU,04-12-2013-12:02:05 AM,Global Internship,alice interactive gmbh,Company,Information Technology (Computer) Services,,04-09-2014,12-30-2014,-,Information Technology," Mobile Applications, Software Development and Programming, Web Development and Management",-,-," English(Good), German(Basic)","UNIX/Linux OS,MacOS,Mac User Skills,Internet User Skills,Other Development Tools,Javascript,Python",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100220246,2176
TN-In-AT-GR-2014-1366,AUSTRIA,AIESEC GRAZ,11-02-2014-09:21:36 AM,Global Internship,Michael Pachleitner Group,Company,Consumer Prod. Manufacturers,,02-16-2014,02-01-2015,-,Information Technology," Web Development and Management, Software Development and Programming, Database Management, Systems Analysis and Design",-,-," English(Good), German(Basic)","C,C++,HTML,PC User Skills,Internet User Skills,Microsoft SQL Server,Database Design and Development Tools,Visual Studio,Visual C++,SQL,C#",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228419,2511
TN-In-AT-VI-2014-1669,AUSTRIA,AIESEC VIENNA WU,09-03-2014-02:54:51 PM,Global Internship,VCXI Österreich GmbH,Company,Information Technology (Computer) Software,,05-04-2014,11-07-2015,-,Information Technology," Web Applications, Database Management, Software Development and Programming, Mobile Applications, Systems Analysis and Design",-,-," English(Excellent), German(Basic)","Windows Operating Systems,MacOS,HTML,Java,Perl,PC User Skills,Internet User Skills,SAP,Javascript,XML",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100233597,2744
TN-In-AT-GR-2014-1367,AUSTRIA,AIESEC GRAZ,11-03-2014-04:30:31 PM,Global Internship,DCCS Gmbh,Company,Information Technology (Computer) Software,,03-31-2014,01-29-2015,-,Information Technology," Database Management, Web Development and Management, Software Development and Programming, Mobile Applications, Network Management & Data Transmission, Systems Analysis and Design",-,-," English(Good), German(Good)","TCP/IP,UNIX/Linux OS,Windows Operating Systems,HTML,Java,Leadership skills,PC User Skills,Internet User Skills,DB/2,Microsoft SQL Server,Oracle,Database Design and Development Tools,Other Development Tools,Javascript,XML,SQL,Eclipse,Ajax,CSS",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100234323,2752
TN-In-AT-MC-2014-1385,AUSTRIA,AUSTRIA,27-03-2014-04:06:12 PM,Global Internship,GfK Austria GmbH,Company,"Advertising, Public Relations or Marketing",,04-30-2014,12-30-2015,-,Marketing, Advertising + Public Relations,Communication & Journalism," Public Relations, Introduction to Communications, Journalism", German(Excellent),"Project Management,Training/ Facilitating skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Client Servicing Skills","Marketing,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100239185,2931
TN-In-AT-VU-2014-39,AUSTRIA,AIESEC VIENNA UV,05-04-2014-09:02:06 PM,Global Internship,Tenders Beteiligungsverwaltungs GmbH,Company,Information Technology (Computer) Services,,04-29-2014,12-30-2015,-,Information Technology," Database Management, Web Development and Management, Software Development and Programming, Network Management & Data Transmission, Systems Analysis and Design",-,-," English(Excellent), German(Good)","HTML,Java,Database Design and Development Tools,Other Development Tools,Javascript,XML,SQL,Jscript,CSS",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100243095,3061
TN-In-AT-VI-2014-1675,AUSTRIA,AIESEC VIENNA WU,09-04-2014-11:43:50 PM,Global Internship,PAGESTRIP,Company,Information Technology (Computer) Software,,04-30-2014,12-30-2014,-,Information Technology," Mobile Applications, Software Development and Programming, Systems Analysis and Design",-,-," English(Good), German(Basic)","UNIX/Linux OS,MacOS,C,C++,PC User Skills,Mac User Skills,Internet User Skills,Other Development Tools,Javascript,Python",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100244504,3077
TN-In-AT-VI-2014-1671,AUSTRIA,AIESEC VIENNA WU,09-04-2014-11:15:55 AM,Global Internship,UberGrape GmbH,Company,"Advertising, Public Relations or Marketing",,04-09-2014,10-09-2015,-,Marketing," Retail + Sales Marketing, Market Research & Evaluation, Advertising + Public Relations, Customer Relationship Management, International Marketing, Consumer + Buyer Behaviour",Communication & Journalism,-, English(Excellent),"PC User Skills,Mac User Skills,Internet User Skills","Marketing,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100244148,3096
TN-In-AT-VI-2014-1673,AUSTRIA,AIESEC VIENNA WU,09-04-2014-11:38:49 AM,Global Internship,UberGrape GmbH,Company,"Advertising, Public Relations or Marketing",,04-09-2014,10-09-2015,-,Information Technology," Mobile Technology, Web Development and Management, Software Development and Programming, Mobile Applications, Systems Analysis and Design",-,-, English(Good),"UNIX/Linux OS,Java,Internet User Skills,Javascript,CSS",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100244167,3097
TN-In-AT-LI-2014-1346,AUSTRIA,AIESEC LINZ,26-03-2014-12:50:52 PM,Global Internship,charity running GmbH,Non Profit Organization,Other,,04-30-2014,12-30-2015,"Social Business,Sport and recreation activities",Information Technology," Database Management, Software Development and Programming, Web Development and Management",Marketing," Retail + Sales Marketing, Customer Relationship Management, Advertising + Public Relations"," English(Good), German(Basic)","Marketing / Selling skills,Database Design and Development Tools,Photoshop,J#,Visual Basic,MySQL,Ajax","Information Technology,Marketing","Business and Development,Health & Lifestyle","Social Business,Sport and recreation activities",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100238874,19435
TN-In-AT-VU-2014-40,AUSTRIA,AIESEC VIENNA UV,12-04-2014-12:25:46 PM,Global Internship,SOS Children''s Villages International,Foundation,Social and Community Services,,05-31-2014,12-30-2014,-,Communication & Journalism,-,-,-," English(Excellent), German(Good)","Project Management,Training/ Facilitating skills,Presentation skills,PC User Skills,Internet User Skills,Client Servicing Skills",Communication & Journalism,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100245115,22654
TN-In-AZ-BK-2013-1045,AZERBAIJAN,AIESEC BAKU SYNERGY,02-12-2013-10:40:37 AM,Global Internship,STIM INTERNATIONAL,Company,Education (Others),,12-31-2013,05-29-2014,-,Teaching & Language Education," Foreign Languages Education, Linguistics, Advanced Teaching",-,-, English(Excellent),"Team Management,Presentation skills,PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100219790,1016
TN-In-AZ-BK-2014-1048,AZERBAIJAN,AIESEC BAKU SYNERGY,27-01-2014-08:43:30 AM,Global Internship,Anglo-American Business Services,Educational Institution,Education (Others),,01-31-2014,05-29-2014,Language literacy,Teaching & Language Education, Linguistics,-,-, English(Native),"PC User Skills,Internet User Skills,Microsoft Access",Teaching & Language Education,Literacy,Language literacy,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100226031,3783
TN-In-AZ-BK-2013-1020,AZERBAIJAN,AIESEC BAKU SYNERGY,28-03-2013-07:24:26 PM,Global Internship,CELT Colleges,Educational Institution,Education (Others),,12-31-2013,05-29-2014,"Other subjects literacy,Transparency,Language literacy,Leadership",Teaching & Language Education," Foreign Languages Education, Linguistics, Advanced Teaching",Cultural Education," Bilingual and Cross Cultural Education, Introductory Cultural Education", English(Excellent),"Team Management,Training/ Facilitating skills,Leadership skills,Language Teaching","Teaching & Language Education,Cultural Education","Literacy,Governance,Literacy,Career Development","Other subjects literacy,Transparency,Language literacy,Leadership",http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100170577,3795
TN-In-AZ-AZ-2013-1086,AZERBAIJAN,AZERBAIJAN,19-10-2013-01:06:57 PM,Global Internship,IB Club - English Teaching,Educational Institution,Education (Others),,03-30-2014,03-30-2015,-,Teaching & Language Education," Child (Youth) Education, Introductory Teaching, Foreign Languages Education, Advanced Teaching",-,-," English(Excellent), German(Excellent)","Organisational Management,Team Management,Training/ Facilitating skills,Leadership skills,Presentation skills,PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100208626,5169
TN-In-AZ-AZ-2014-1088,AZERBAIJAN,AZERBAIJAN,27-01-2014-09:48:14 AM,Global Internship,AKI Intern,Educational Institution,Education (Others),,03-30-2014,03-30-2015,-,Teaching & Language Education," Advanced Teaching, Foreign Languages Education, Introductory Teaching",-,-," English(Excellent), Russian(Excellent)","Training/ Facilitating skills,Presentation skills,PC User Skills,Internet User Skills,Language Teaching,Client Servicing Skills",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100226057,6205
TN-In-AZ-HZ-2014-2,AZERBAIJAN,AIESEC BAKU ADA,27-01-2014-09:01:57 AM,Global Internship,A-Level Education Center,Educational Institution,Education (Others),,03-30-2014,03-30-2015,-,Teaching & Language Education," Advanced Teaching, Foreign Languages Education, Introductory Teaching",-,-," English(Excellent), German(Excellent)","Training/ Facilitating skills,Presentation skills,PC User Skills,Internet User Skills,Language Teaching",Teaching & Language Education,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100226033,6209
TN-In-BH-BH-2014-1123,BAHRAIN,BAHRAIN,18-03-2014-01:44:09 PM,Global Internship,American Cultural and Educational Center,Educational Institution,Education (6-17 Years),,04-14-2014,04-14-2015,-,Teaching & Language Education,-,Cultural Education," International Education, Introductory Cultural Education, Advanced Cultural Education", English(Excellent),"PC User Skills,Internet User Skills","Teaching & Language Education,Cultural Education",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100236482,6893
TN-In-BH-BH-2014-1124,BAHRAIN,BAHRAIN,18-03-2014-02:43:11 PM,Global Internship,American Cultural and Educational Center,Educational Institution,Education (6-17 Years),,04-14-2014,04-14-2015,-,Teaching & Language Education," Advanced Teaching, Foreign Languages Education",Cultural Education," Advanced Cultural Education, International Education", English(Excellent),"PC User Skills,Internet User Skills","Teaching & Language Education,Cultural Education",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100236541,6894
TN-In-BE-MC-2014-2053,BELGIUM,BELGIUM,01-04-2014-02:16:37 PM,Global Internship,PwC,Company,"Consulting, Audit and Professional Services",,04-14-2014,05-30-2015,-,Information Technology," Web Development and Management, Software Development and Programming, Database Management, Systems Analysis and Design",Business Administration," Project Management, Introduction to Management / Business Administration"," Dutch(Good), English(Excellent), French(Good)","HTML,Java,Project Management,Presentation skills,PC User Skills,Internet User Skills,Lotus Notes/Domino,Javascript,XML,PHP,Eclipse,MySQL,Client Servicing Skills,CSS","Business Administration,Information Technology",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100241723,103
TN-In-BE-MC-2014-2054,BELGIUM,BELGIUM,02-04-2014-02:23:24 PM,Global Internship,Ingersoll Rand,Company,Engineering,,07-31-2014,01-31-2016,-,Business Administration," Project Management, Industrial Management, Transportation / Distribution Management, Organisation Management + Planning",-,-," English(Excellent), French(Good), German(Good)","Organisational Management,Project Management,Leadership skills,Presentation skills,PC User Skills,Internet User Skills",Business Administration,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242038,139
TN-In-BE-MC-2014-2055,BELGIUM,BELGIUM,02-04-2014-02:34:07 PM,Global Internship,Ingersoll Rand,Company,Engineering,,07-31-2014,01-31-2016,-,Engineering," Mechanical Engineering, Electrical Engineering, Industrial Engineering",-,-," English(Excellent), French(Good), German(Good), Italian(Excellent), Czech(Excellent)","Organisational Management,Project Management,Leadership skills,Presentation skills,PC User Skills,Internet User Skills",Engineering,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242043,140
TN-In-BE-MC-2014-2056,BELGIUM,BELGIUM,02-04-2014-02:46:15 PM,Global Internship,Ingersoll Rand,Company,Engineering,,07-31-2014,01-31-2016,-,Human Resources," Advanced HR management, International Resource Management, Industrial relations, Recruitment and Allocation",-,-," English(Excellent), French(Good), German(Good), Italian(Excellent), Czech(Excellent)","Organisational Management,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,PC User Skills,Internet User Skills",Human Resources,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242046,141
TN-In-BE-MC-2014-2057,BELGIUM,BELGIUM,02-04-2014-02:55:44 PM,Global Internship,Ingersoll Rand,Company,Engineering,,07-31-2014,01-31-2016,-,Marketing," Customer Relationship Management, Consumer + Buyer Behaviour, Market Research & Evaluation",-,-," English(Excellent), French(Good), German(Good), Italian(Excellent), Czech(Excellent)","Organisational Management,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,Marketing / Selling skills,PC User Skills,Internet User Skills",Marketing,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242049,142
TN-In-BE-UF-2013-1413,BELGIUM,AIESEC UA,04-11-2013-05:02:55 PM,Global Internship,Alcatel-Lucent,Company,Telecommunications,,12-31-2013,12-30-2014,-,Engineering," Telecommunications Engineering, Electrical Engineering, Electronics Engineering",-,-, English(Excellent),"TCP/IP,C,C++,Perl,PC User Skills,Internet User Skills,LAN (local area network),WAN (wide area network),Python",Engineering,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100212767,182
TN-In-BE-UF-2013-1414,BELGIUM,AIESEC UA,04-11-2013-05:58:36 PM,Global Internship,Alcatel-Lucent,Company,Telecommunications,,12-31-2013,12-30-2014,-,Engineering," Telecommunications Engineering, Electrical Engineering, Electronics Engineering",-,-, English(None),"UNIX/Linux OS,Perl,PC User Skills,Internet User Skills,Python",Engineering,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100212778,183
TN-In-BE-UF-2014-1423,BELGIUM,AIESEC UA,19-02-2014-02:15:30 PM,Global Internship,Alcatel-Lucent,Company,Telecommunications,,02-28-2014,02-27-2015,-,Engineering," Telecommunications Engineering, Electrical Engineering, Electronics Engineering",-,-, English(Excellent),"Java,PC User Skills,Internet User Skills,Eclipse",Engineering,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100230026,184
TN-In-BE-UF-2014-1429,BELGIUM,AIESEC UA,19-04-2014-12:46:26 PM,Global Internship,Alcatel-Lucent,Company,Telecommunications,,04-30-2014,04-29-2015,-,Business Administration," Project Management, Introduction to Management / Business Administration, Corporate Community Engagement, Organisation Management + Planning",-,-," English(Excellent), French(Good)","Organisational Management,Team Management,Project Management,Training/ Facilitating skills,Leadership skills,Presentation skills,Financial Management skills,Marketing / Selling skills,PC User Skills,Internet User Skills",Business Administration,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100247670,185
TN-In-BE-MC-2014-2052,BELGIUM,BELGIUM,28-03-2014-12:53:30 PM,Global Internship,Microsoft,Company,Information Technology (Computer) Software,,05-25-2014,12-30-2015,-,Business Administration," Event Management, Organisation Management + Planning, Corporate Community Engagement","Information Technology,Communication & Journalism",-," Dutch(Basic), English(Excellent), French(Good)","Organisational Management,Windows Operating Systems,Leadership skills,Financial Management skills,PC User Skills,Internet User Skills,Client Servicing Skills","Business Administration,Information Technology,Communication & Journalism",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100239501,211
TN-In-BE-MC-2014-2068,BELGIUM,BELGIUM,24-04-2014-08:16:22 PM,Global Internship,Microsoft,Company,Information Technology (Computer) Software,,06-15-2014,06-29-2015,-,Marketing," Brand & Trademark Management, Market Research & Evaluation, Advertising + Public Relations, Customer Relationship Management, International Marketing, Consumer + Buyer Behaviour",Information Technology,-, English(Native),"HTML,Java,Project Management,Presentation skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Corel Draw,Adobe,Photoshop,Oracle,CSS","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249184,212
TN-In-BE-MC-2014-2069,BELGIUM,BELGIUM,24-04-2014-10:45:52 PM,Global Internship,Microsoft,Company,Information Technology (Computer) Software,,06-15-2014,06-29-2015,-,Marketing," Brand & Trademark Management, Market Research & Evaluation, Advertising + Public Relations, Customer Relationship Management, International Marketing, Consumer + Buyer Behaviour",Information Technology,-, English(Native),"HTML,Java,Project Management,Presentation skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Corel Draw,Adobe,Photoshop,Oracle,CSS","Information Technology,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100249237,213
TN-In-BE-IC-2013-1317,BELGIUM,AIESEC ICHEC,11-10-2013-12:13:13 AM,Global Internship,ScanSource Europe,Company,Business Services,,10-17-2013,04-17-2015,-,Accounting," Managerial accounting, Cost accounting, Financial accounting, Auditing","Business Administration,Finance", Crisis Management," Dutch(Good), English(Excellent), German(Good), Russian(Good)","PC User Skills,Internet User Skills","Accounting,Business Administration,Finance",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100207160,222
TN-In-BE-IC-2014-1322,BELGIUM,AIESEC ICHEC,05-02-2014-11:02:52 AM,Global Internship,ScanSource Europe,Company,Business Services,,02-28-2014,08-31-2015,-,Economics," Introductory Economics, Developmental Economics",Business Administration,-," English(Excellent), German(Excellent)","Organisational Management,Leadership skills,Marketing / Selling skills,PC User Skills,Internet User Skills,Microsoft Access,Client Servicing Skills","Business Administration,Economics",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100227820,223
TN-In-BE-IC-2014-1323,BELGIUM,AIESEC ICHEC,05-02-2014-11:21:57 AM,Global Internship,ScanSource Europe,Company,Business Services,,02-28-2014,08-31-2015,-,Business Administration," Project Management, International Management, Introduction to Management / Business Administration","Economics,Finance",-," English(Excellent), Danish(Good), Swedish(Good), Norwegian(Good)","PC User Skills,Internet User Skills","Business Administration,Economics,Finance",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100227822,224
TN-In-BE-IC-2014-1324,BELGIUM,AIESEC ICHEC,14-02-2014-04:15:06 PM,Global Internship,ScanSource Europe,Company,Business Services,,03-01-2014,08-31-2015,-,Business Administration," International Management, Introduction to Management / Business Administration",Economics,-," English(Excellent), French(Excellent), Italian(Excellent)","Organisational Management,Team Management,Leadership skills,PC User Skills,Internet User Skills","Business Administration,Economics",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100228904,225
TN-In-BE-IC-2014-1325,BELGIUM,AIESEC ICHEC,31-03-2014-11:54:51 AM,Global Internship,Bulow Bennet SA,Company,Construction,,05-31-2014,05-31-2015,-,Business Administration,-,"Economics,Marketing"," International Marketing, International Trade + Balance of Payment, Customer Relationship Management, Import & Export"," English(Excellent), Finnish(Excellent), Estonian(Good), Latvian(Good), Lithuanian(Good), Swedish(Good), Norwegian(Good)","Organisational Management,PC User Skills,Internet User Skills,Microsoft Access,Client Servicing Skills","Business Administration,Economics,Marketing",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100240978,294
TN-In-BE-MC-2014-2040,BELGIUM,BELGIUM,05-03-2014-06:06:45 PM,Global Internship,UCB,Company,Pharmaceuticals,,04-30-2014,04-30-2015,-,Economics,-,Finance, Introductory Finance," English(Excellent), French(Good)","Financial Management skills,PC User Skills,Internet User Skills,SAP","Economics,Finance",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100232956,538
TN-In-BE-MC-2014-2058,BELGIUM,BELGIUM,03-04-2014-11:27:36 AM,Global Internship,PWI St-Microelectronics NV,Company,Telecommunications Equip.,,04-30-2014,05-30-2015,-,Information Technology," Software Development and Programming, Systems Analysis and Design",-,-," English(Excellent), French(Good)","C,C++,Visual Basic,Java,Delphi,Visual Studio,Javascript,Python",Information Technology,-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100242301,601
TN-In-BE-MC-2014-2070,BELGIUM,BELGIUM,28-04-2014-04:37:25 PM,Global Internship,PWI St-Microelectronics NV,Company,Telecommunications Equip.,,05-25-2014,06-14-2015,-,Information Technology," Software Development and Programming, Systems Analysis and Design",Engineering," Electronics Engineering, Electrical Engineering"," Dutch(Good), English(Excellent), French(Good)","C,C++,Visual Basic,Java,Delphi,Visual Studio,Javascript,Python","Information Technology,Engineering",-,-,http://www.myaiesec.net/exchange/viewtn.do?operation=executeAction&tnId=100250207,602
